additional agronomic information,bean size,breeder,cherry to green bean outturn,coffee berry borer,coffee berry disease,coffee leaf rust,contents of mucilage in the cherry,country of release,description,genetic description,leaf tip color,lineage,name,nematode,nutrition requirement,optimal altitude,planting density,quality potential at high altitude,ripening of fruit,species,stature,type,year of first production,yield potential
Anacafe 14 is drought tolerant. Anacafe 14 is not uniform; plants are not stable from one generation to the next.,Very Large,National Coffee Association of Guatemala (ANACAFÉ),High,,Susceptible,Resistant,,,"Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.",Introgressed (Catimor related),Green,(Timor Hybrid 832/1 x Caturra) x Pacamara,Anacafe 14,Susceptible,High,"Medium , High",4000-5000 plants/ha (using single-stem pruning),Good,Late,Arabica,Dwarf/Compact,,Year 2,High
"Well-adapted for smallholders because of its rare combination of being a tall variety with disease resistance and resillience (e.g., can cope with low management and adverse environmental conditions).",Very Large,"Coffee Research Foundation (now Kenya Agricultural and Livestock Research Organization, KALRO)",High,,Resistant,Tolerant,,,"A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality.",Introgressed (Other),Green or Bronze,"Composite variety containing parentage from: SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid.",Batian,Susceptible,Medium,Low,2000-3000 plants/ha (using multiple-stem pruning),Very Good,Unknown,Arabica,Tall,,Year 2,High
None,Average,None,Average,,Susceptible,Susceptible,,,"One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes.",Bourbon-Typica group (Bourbon related),Green,Bourbon-like genetic background.,Bourbon,Susceptible,Medium,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Early,Arabica,Tall,,Year 4,Medium
None,Large,Rwanda Agricultural Board (RAB),Average,,Susceptible,Susceptible,,,Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.,Bourbon-Typica group (Bourbon related),Bronze,Bourbon-like genetic background.,Bourbon Mayaguez 139,Unknown,Medium,High,2000-3000 plants/ha (using multiple-stem pruning),Very Good,Average,Arabica,Tall,,Year 3,High
None,Large,Rwanda Agricultural Board (RAB),Average,,Susceptible,Susceptible,,,"Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi.",Bourbon-Typica group (Bourbon related),Bronze,Bourbon-like genetic background.,Bourbon Mayaguez 71,Unknown,Medium,"Medium , High",1000-2000 plants/ha (using single-stem pruning),Good,Unknown,Arabica,Tall,,Year 3,Medium
Highly adapted for commercial production in Monagas State in northeastern Venezuela.,Large,Gustavo Buonafina Parra,Average,,Susceptible,Susceptible,,,Very good cup quality with large beans. An important regional variety in Monagas state in northeastern Venezuela.,Bourbon-Typica group (Typica related),Green,A selection of the Typica variety.,Caripe,Susceptible,Medium,"Medium , High",2000-3000 plants/ha (using multiple-stem pruning),Very Good,Average,Arabica,Tall,,Year 3,Medium
"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,Very High,,Susceptible,Susceptible,,,"High yielding variety, with exceptional quality at elevations above 1300 meters.",F1 hybrid (not introgressed),Bronze,"Caturra x Ethiopian wild accession ""ET41"" (CATIE collection)",Casiopea,Susceptible,High,High,4000-5000 plants/ha (using single-stem pruning),Exceptional,Average,Arabica,Dwarf/Compact,,Year 3,High
Requires careful management to maximize yield without overbearing.,Large,Cenicafe,Average,,Resistant,Resistant,,,"High yielding/Dwarf/Compact variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe.",Introgressed (Catimor related),Green,Selection of a Catimor breeding line from Colombia (Caturra x Timor Hybrid 1343),Catimor 129,Susceptible,High,High,3000-4000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 2,Very High
Susceptible to Ojo de Gallo. Adapted to warmest zones and acidic soils.,Average,Instituto Salvadoreño de Investigaciones del Café (ISIC),Low,,Susceptible,Resistant,,,Adapted to warmest zones and acidic soils. High yielding.,Introgressed (Catimor related),Bronze,Timor Hybrid 832/1 x Caturra,Catisic,Susceptible,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Very Low,Average,Arabica,Dwarf/Compact,,Year 3,High
None,Average,"Instituto Agronômico (IAC), Brazil",Average,,Susceptible,Susceptible,,,A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Bourbon-Typica group (Typica and Bourbon related),Green,Mundo Novo x Caturra,Catuai,Susceptible,High,High,5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,Good
None,Average,"Instituto Agronômico (IAC), Brazil",Average,,Susceptible,Susceptible,,,A compact plant with good yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Bourbon-Typica group (Bourbon related),Green,Natural mutation of the Bourbon variety,Caturra,Susceptible,High,High,5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,Good
"May have difficulty establishing roots in the first two years. Requires careful nutrition for roots to become established, avoiding too much nitrogen (N). An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,Very High,,Tolerant,Resistant,,,"Very high yielding with very good quality potential if planted in healthy soil and at elevations >1300 meters, with resistance to rust. Well-adapted for agroforestry.",F1 hybrid (introgressed),Green,T5296 x Rume Sudan,Centroamericano,Susceptible,Very High,"Low , Medium , High",3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,Very High
"Recently, Costa Rica 95 has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Costa Rica and may also be susceptible in other areas of Central America. Susceptible to Ojo de Gallo. Recommended for acidic soils and soils rich in aluminum. Recommended for warmest zones.",Average,Instituto del Café de Costa Rica (ICAFE),Average,,Susceptible,Susceptible,,,High yielding variety adapted to warmest zones and acidic soils.,Introgressed (Catimor related),Bronze,Timor Hybrid 832/1 x Caturra,Costa Rica 95,Susceptible,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Low,Average,Arabica,Dwarf/Compact,,Year 3,High
Nematode resistance: Not resistant to Pratylenchus spp. It is resistant to Meloidogyne exigua .,Large,Fundación Salvadoreña para Investigaciones del Café (PROCAFÉ),High,,Unknown,Resistant,,,Well-adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.,Introgressed (Sarchimor related),Green,Selection of T5296,Cuscatleco,Resistant,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,Good
"Excellent adaptation to humid environments. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,Very High,,Tolerant,Tolerant,,,"Variety with very high productivity, tolerance to rust, and very good quality. Excellent adaptation to humid environments.",F1 hybrid (introgressed),Green,"T5296 x Ethiopian Local Variety accession ""ET25"" (from the CATIE collection)",Esperanza,Tolerant,High,"Low , Medium , High",3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,Very High
"May have difficulty establishing roots in the first two years due to an imbalance between root growth and aerial parts. Requires careful nutrition for the roots to become properly established; avoid excess of nitrogen. An important note about F1 hybrids: Seeds taken from hybrid plantsNonewill not have the same characteristics as the parent plants.NoneThis is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-ECOM,Very High,,Tolerant,Susceptible,,,Very high yielding variety at elevations at high altitudes.,F1 hybrid (introgressed),Light Bronze,"Naryelis (Catimor) x Ethiopian landrace accession ""ET06"" (CATIE collection)",Evaluna,Susceptible,High,High,4000-5000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,High
Variety not homogenous; presents a non-specified amount of segregation in the field. Susceptible to coffee leaf miner.,Average,None,High,,Unknown,Resistant,,,Early production and high yielding plant resistant to coffee leaf rust. Well- adapted to low and medium altitudes. Found primarily in Puerto Rico.,Introgressed (Catimor related),Green or Bronze,Timor Hybrid x Caturra,Fronton,Unknown,High,"Low , Medium",3000-4000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 2,Good
None,Average,None,Average,,Susceptible,Tolerant,,,"Panamanian Geisha has exceptionally high quality at high altitudes. The term ""Geisha"" is often applied to other coffees that do not share the distinct genetics of Panamanian Geisha. Geisha is also cultivated widely in Malawi.",Ethiopian landrace,Green or Bronze,Ethiopian landrace,Geisha,Susceptible,Medium,High,3000-4000 plants/ha (using single-stem pruning),Exceptional,Average,Arabica,Tall,,Year 4,Medium
"Stature is intermediate between Dwarf/Compact and tall. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,Very High,,Susceptible,Susceptible,,,"High yielding variety, with very good quality at elevations above 1300 meters.",F1 hybrid (not introgressed),Green,"Caturra x Ethiopian landrace accession ""E531'' (CATIE collection)",H3,Susceptible,High,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 3,High
"Many varieties or populations share the name Harar, but are not necessarily the same. This is the Harar variety sometimes found in Rwanda. It is no longer recommended by the Rwandan coffee authorities because of its short productive life.",Average,Rwanda Agricultural Board (RAB),Average,,Susceptible,Susceptible,,,"High yielding with very good cup quality potential, but susceptible to the major diseases and prone to die back. This is the Harar variety sometimes found in Rwanda (no longer recommended by Rwandan coffee authorities because of its short productive life)",Bourbon-Typica group (Typica related),Dark Bronze,"Typica-like genetic background, introduced to Rwanda in 1956.",Harar Rwanda,Unknown,Medium,"Medium , High",2000-3000 plants/ha (using multiple-stem pruning),Very Good,Average,Arabica,Tall,,Year 2,High
Nematodes: Not resistant to Pratylenchus spp. It is resistant to Meloidogyne exigua.,Average,"Instituto Agronômico do Paraná (IAPAR), Brazil",High,,Susceptible,Resistant,,,High yielding plant adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.,Introgressed (Sarchimor related),Light Bronze,Timor Hybrid 832/2 x Villa Sarchi,IAPAR 59,Resistant,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Low,Average,Arabica,Dwarf/Compact,,Year 3,Good
"Recently, IHCAFE 90 has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Honduras and maybe possibly also be susceptible in other areas of Central America. Highly susceptible to Ojo de Gallo.",Average,Instituto Hondureño del Café (IHCAFE),Low,,Susceptible,Susceptible,,,High yielding plant adapted to lowest altitudes. Requires high fertilization.,Introgressed (Catimor related),Dark Bronze,Timor Hybrid 832/1 x Caturra,IHCAFE 90,Susceptible,Very High,"Low , Medium",4000-5000 plants/ha (using single-stem pruning),Very Low,Average,Arabica,Dwarf/Compact,,Year 2,High
None,Large,Rwanda Agricultural Board (RAB),Average,,Susceptible,Susceptible,,,Very vigorous and highly productive. Found commonly in Rwanda and Burundi.,Bourbon-Typica group (Bourbon related),Bronze,A selection of Jackson. Bourbon-like genetic background.,Jackson 2/1257,Unknown,Medium,"Medium , High",1000-2000 plants/ha (using single-stem pruning),Good,Unknown,Arabica,Tall,,Year 3,High
None,Large,None,Average,,Tolerant,Tolerant,,,"High quality in Central America. Tolerant to major diseases, with low fertilizer requirement. Good choice for smallholder farmers.",Ethiopian landrace,Bronze,Ethiopian landrace,Java,Susceptible,Low,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Tall,,Year 3,Medium
K7 is distinguished by its spreading habit on young laterals although older primaries tend to droop. It has characteristic medium to narrow leaves with young shoot-tips that are light bronze in color. It is suited for lower altitudes where coffee leaf rust is prevalent.,Large,Individual farmer selection: R.H. Walker in Kenya in 1936,High,,Tolerant,Tolerant,,,Tolerant to coffee leaf rust and coffee berry disease. Found primarily in Kenya and Tanzania.,Bourbon-Typica group (Bourbon related),Light Bronze,Selected from French Mission. Bourbon-like genetic background.,K7,Susceptible,Medium,"Low , Medium",1000-2000 plants/ha (using single-stem pruning),Good,Unknown,Arabica,Tall,,Year 3,High
Drought tolerant. Some tolerance to White Stem Borer has been documented.,Average,"Lyamungu Research Station, Tanzania",Average,,Susceptible,Tolerant,,,Tolerant of drought and coffee leaf rust but highly susceptible to coffee berry disease. Found mostly in Uganda.,Bourbon-Typica group (Bourbon related),Light Bronze,A selection of Kent. Likely Bourbon-like genetic background.,KP423,Susceptible,Medium,Medium,1000-2000 plants/ha (using single-stem pruning),Low,Unknown,Arabica,Tall,,Year 3,High
"Recently, Lempira has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Honduras and maybe possibly also be susceptible in other areas of Central America. Susceptible to Ojo de Gallo. Recommended for acidic soils and soils rich aluminium. Recommended for warmest zones.",Average,Instituto Hondureño del Café (IHCAFE),Low,,Susceptible,Susceptible,,,High yielding variety adapted to warmest zones and acidic soils.,Introgressed (Catimor related),Bronze,Timor Hybrid 832/1 x Caturra,Lempira,Susceptible,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Low,Average,Arabica,Dwarf/Compact,,Year 3,High
"""True"" Limani is very difficult to find because of issues with genetic traceability dating to its original release in Puerto Rico. Consequently, plants identified as Limani rarely match the original reference. This doesn’t necessarily mean that plants identified as Limani won’t perform well, only that it is difficult to predict performance, for example, or resistance to coffee leaf rust. True Limani is supposed to be well adapted to medium altitudes (above 1000 m) and rust resistant.",Average,"Unknown, in Puerto Rico",High,,Unknown,Resistant,,,An elusive Puerto Rican variety.,Introgressed (Sarchimor related),Bronze,Timor Hybrid 832/2 x Villa Sarchi,Limani,Unknown,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,Good
"Due to the low productivity of Maragogipe, Pacamara is considered a better option. Maragogipe beans are especially large, and the plant also has unusually large spacing between internodes and leaf size.",Very Large,None,Very High,,Susceptible,Susceptible,,,"Good to very good cup quality in Central America, but highly susceptible to rust. Very low yielding, large leaves and large internodes.",Bourbon-Typica group (Typica related),Bronze,A natural mutation of Typica,Maragogipe,Susceptible,Low,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Tall,,Year 4,Low
None,Average,CIRAD-ECOM,High,,Tolerant,Resistant,,,High yielding plant adapted to medium altitudes. Notably high acidity in the cup.,Introgressed (Sarchimor related),Green,Timor Hybrid 832/2 x Villa Sarchi CIFC 971/10,Marsellesa,Susceptible,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,High
"Drought tolerant and resilient (e.g., can cope with low management and adverse environmental conditions).",Large,None,Average,,Susceptible,Susceptible,,,"Exceptional cup quality and drought tolerant, but highly susceptible to major diseases. Important variety for smallholder coffee growers in Rwanda and Burundi.",Bourbon-Typica group (Typica related),Green or Bronze,Likely Typica-like genetic background.,Mibirizi,Unknown,Low,High,1000-2000 plants/ha (using single-stem pruning),Exceptional,Unknown,Arabica,Tall,,Year 3,Good
"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE,Very High,,Tolerant,Resistant,,,"Very high-yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.",F1 hybrid (introgressed),Green,T5296 x Rume Sudan,Milenio,Susceptible,Unknown,"Medium , High",4000-5000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,Very High
Monte Claro is a cultivar that can tolerate significant levels of aluminum in the soil and weather variation. It grows very well in medium shade. It is highly adapted to different conditions and geographic regions of Venezuela.,Very Large,Instituto Nacional de Investigaciones Agrícolas (INIA)-Venezula,High,,Susceptible,Tolerant,,,"Compact variety with very good cup quality and large beans, tolerance to coffee leaf rust and nematodes, and high yield potential. An important regional variety in Venezuela.",Introgressed (Sarchimor related),Bronze,Timor Hybrid 832/2 x Villa Sarchi CIFC 971/11,Monte Claro,Tolerant,High,Medium,5000-6000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,High
"Nematodes: Variety not resistant to Pratylenchus spp. Is resistant to some Meloidogyne spp. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-ECOM,Very High,,Tolerant,Resistant,,,"Very high yielding variety if planted in healthy soil, with very good quality at elevations above 1300 meters. Well-adapted to agroforestery conditions.",F1 hybrid (introgressed),Bronze,"T5296 x wild Ethiopian accession ""ET01"" (CATIE collection)",Mundo Maya,Resistant,High,"Medium , High",4000-5000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,High
"In Peru, recommended elevation is >1500m.",Average,"Instituto Agronómico de Campinas (IAC), Brasil",Average,,Susceptible,Susceptible,,,"A vigorous and productive plant with good quality cup but susceptible to major diseases. Grown widely in South America, but rarely in Central America and the Caribbean.",Bourbon-Typica group (Typica and Bourbon related),Green or Bronze,Typica x Bourbon,Mundo Novo,Susceptible,High,High,3000-4000 plants/ha (using single-stem pruning),Good,Average,Arabica,Tall,,Year 3,High
"An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.",Large,CIRAD-ECOM,Very High,,Tolerant,Susceptible,,,High yielding variety at high altitudes with very good cup quality.,F1 hybrid (introgressed),Dark Bronze,"Naryelis (Catimor) x wild Ethiopian accession ""ET26"" (CATIE collection)",Nayarita,Susceptible,High,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Dwarf/Compact,,Year 2,High
